CITY,COUNTRY,CODE,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK,LATITUDE,LONGITUDE,COLOR
Berlin,Germany,de,60.13,128.00,13.00,96.00,4.58,53.00,12.42,2.00,3.08,66.00,14.00,63.00,61.83,37.00,37.33,64.00,43.42%,100.00,52.52,13.405,#d9ead3
Edinburgh,United Kingdom,gb,60.75,129.00,11.75,103.00,3.50,60.00,12.33,3.00,2.58,69.00,16.42,80.00,61.42,36.00,22.56,27.00,40.50%,108.00,55.9533,-3.1883,#d9ead3
Nadi,Fiji,fj,61.50,130.00,28.17,29.00,5.50,42.00,12.17,5.00,9.92,11.00,18.50,86.00,197.58,130.00,50.00,80.00,40.42%,109.00,-17.7765,177.4356,#d9ead3
Sarajevo,Bosnia and Herzegovina,ba,61.63,131.00,13.17,94.00,4.92,49.00,12.08,6.00,4.50,54.00,12.83,55.00,78.58,62.00,68.97,112.00,52.50%,61.00,43.8563,18.4131,#d9ead3
Taipei,Taiwan,tw,62.13,132.00,24.83,41.00,4.67,52.00,12.25,4.00,9.25,16.00,17.83,85.00,165.67,120.00,47.57,76.00,43.00%,103.00,25.033,121.5654,#d9ead3
Hanoi,Vietnam,vn,62.38,133.00,27.25,34.00,4.58,53.00,12.08,6.00,9.92,11.00,12.67,53.00,132.75,111.00,84.93,126.00,42.58%,105.00,21.0278,105.8342,#d9ead3
London,United Kingdom,gb,62.88,134.00,14.17,86.00,4.08,58.00,12.42,2.00,3.08,66.00,12.92,56.00,52.25,28.00,63.02,101.00,42.08%,106.00,51.5074,-0.1278,#d9ead3
Salzburg,Austria,at,63.50,135.00,13.58,91.00,4.75,51.00,12.08,6.00,4.42,55.00,15.75,78.00,111.17,98.00,18.01,13.00,36.75%,116.00,47.8095,13.055,#d9ead3
Brussels,Belgium,be,64.25,136.00,14.00,88.00,4.67,52.00,12.42,2.00,3.42,65.00,15.42,75.00,63.33,41.00,63.33,103.00,45.67%,88.00,50.8503,4.3517,#d9ead3
Tromsø,Norway,no,64.63,137.00,4.75,111.00,3.50,60.00,12.58,1.00,1.25,73.00,19.83,88.00,77.67,61.00,14.06,6.00,30.25%,117.00,69.6492,18.9553,#d9ead3
Warsaw,Poland,pl,65.25,138.00,12.08,102.00,4.08,58.00,12.25,4.00,3.42,65.00,14.17,65.00,43.50,16.00,69.80,114.00,43.50%,98.00,52.2297,21.0122,#d9ead3
Krakow,Poland,pl,66.13,139.00,12.67,98.00,4.17,57.00,12.33,3.00,3.58,63.00,14.08,64.00,57.67,33.00,85.19,127.00,46.08%,84.00,50.0647,19.945,#d9ead3
Chamonix,France,fr,69.13,140.00,2.08,112.00,5.50,42.00,12.25,4.00,4.67,52.00,15.08,71.00,129.67,109.00,60.55,96.00,50.58%,67.00,45.9237,6.8694,#d9ead3
